id,BRAND,brandId,tagId,TAG,product_name,model,upc,per_case,requested,quantity,discount,total supplier cost w/ disc,TOTAL supplierCost w/o disc,baseCost,RETAIL PRICE,Per Case Quantity,Per Case RETAIL PRICE,uploadRetailPrice,WEIGHT,SIZE,measuringUnitId,isActive,isKit,supplierId,SUPPLIER
4169,#N/A,,,#N/A,,,,,,,,0,,,,,,,,#N/A,,1,0,,#N/A
4170,#N/A,,,#N/A,,,,,,,,0,,,,,,,,#N/A,,1,0,,#N/A
4171,#N/A,,,#N/A,,,,,,,,0,,,,,,,,#N/A,,1,0,,#N/A
4172,#N/A,,,#N/A,,,,,,,,0,,,,,,,,#N/A,,1,0,,#N/A
4173,#N/A,,,#N/A,,,,,,,,0,,,,,,,,#N/A,,1,0,,#N/A
4174,#N/A,,,#N/A,,,,,,,,0,,,,,,,,#N/A,,1,0,,#N/A
4175,#N/A,,,#N/A,,,,,,,,0,,,,,,,,#N/A,,1,0,,#N/A
4176,#N/A,,,#N/A,,,,,,,,0,,,,,,,,#N/A,,1,0,,#N/A
4177,#N/A,,,#N/A,,,,,,,,0,,,,,,,,#N/A,,1,0,,#N/A
4178,#N/A,,,#N/A,,,,,,,,0,,,,,,,,#N/A,,1,0,,#N/A
4179,#N/A,,,#N/A,,,,,,,,0,,,,,,,,#N/A,,1,0,,#N/A
4180,#N/A,,,#N/A,,,,,,,,0,,,,,,,,#N/A,,1,0,,#N/A
4181,#N/A,,,#N/A,,,,,,,,0,,,,,,,,#N/A,,1,0,,#N/A
4182,#N/A,,,#N/A,,,,,,,,0,,,,,,,,#N/A,,1,0,,#N/A
4183,#N/A,,,#N/A,,,,,,,,0,,,,,,,,#N/A,,1,0,,#N/A
4184,#N/A,,,#N/A,,,,,,,,0,,,,,,,,#N/A,,1,0,,#N/A
4185,#N/A,,,#N/A,,,,,,,,0,,,,,,,,#N/A,,1,0,,#N/A
4186,#N/A,,,#N/A,,,,,,,,0,,,,,,,,#N/A,,1,0,,#N/A
4187,#N/A,,,#N/A,,,,,,,,0,,,,,,,,#N/A,,1,0,,#N/A
4188,#N/A,,,#N/A,,,,,,,,0,,,,,,,,#N/A,,1,0,,#N/A
4189,#N/A,,,#N/A,,,,,,,,0,,,,,,,,#N/A,,1,0,,#N/A
4190,#N/A,,,#N/A,,,,,,,,0,,,,,,,,#N/A,,1,0,,#N/A
4191,#N/A,,,#N/A,,,,,,,,0,,,,,,,,#N/A,,1,0,,#N/A
4192,#N/A,,,#N/A,,,,,,,,0,,,,,,,,#N/A,,1,0,,#N/A
4193,#N/A,,,#N/A,,,,,,,,0,,,,,,,,#N/A,,1,0,,#N/A
4194,#N/A,,,#N/A,,,,,,,,0,,,,,,,,#N/A,,1,0,,#N/A
4195,#N/A,,,#N/A,,,,,,,,0,,,,,,,,#N/A,,1,0,,#N/A
4196,#N/A,,,#N/A,,,,,,,,0,,,,,,,,#N/A,,1,0,,#N/A
4197,#N/A,,,#N/A,,,,,,,,0,,,,,,,,#N/A,,1,0,,#N/A
4198,#N/A,,,#N/A,,,,,,,,0,,,,,,,,#N/A,,1,0,,#N/A
4199,#N/A,,,#N/A,,,,,,,,0,,,,,,,,#N/A,,1,0,,#N/A
4200,#N/A,,,#N/A,,,,,,,,0,,,,,,,,#N/A,,1,0,,#N/A
4201,#N/A,,,#N/A,,,,,,,,0,,,,,,,,#N/A,,1,0,,#N/A
4202,#N/A,,,#N/A,,,,,,,,0,,,,,,,,#N/A,,1,0,,#N/A
